abbreviation,expansion
lol,laughing out loud
ppl,people
pvt.,private
max,maximum
h,hour
min,minute
gov,government
gov.,governor
govt,government
psa,public service announcement
co2,carbon dioxide
vp,vice president
mr.,mister
vax,vaccine
u,you
rs,rupees
cm,chief minister
pm,prime minister
evm,electronic voting machine
pl,please
mins,minutes
re:,regarding
r.i.p.,rest in peace
rip,rest in peace
mc,master of ceremonies
dr,doctor
ppm,parts per million
pm me,private message me
ceo,chief executive officer
hrs,hours
$,dollars
ft,feet
lol,laughing out loud
pcr,polymerase chain reaction
strep,streptococcus
tonite,tonight
&,and
coz,because
sen,senator
vs,versus
nb,note well
eg,for example
drs,doctors
icu,intensive care unit
tv,television
yrs,years
ur,you
nyc,new york city
bi,bisexual
dr.,doctor
sh,shri
gp,general practitioner
jr.,junior
am,ante meridiem
ur,your
rts,retweets
lol,laughing out loud
lt.gen.,lieutenant general
brb,be right back
bn,billion
omg,oh my god
diy,do it yourself
yr.,year
m,million
b,billion
ya,you
b4,before
beware,be aware
dna,deoxyribonucleic acid
sec.,secretary
btw,by the way
c-19,covid-19
ii,second
msm,mainstream media
atms,automated teller machines
rofl,rolling on floor laughing
ev,electric vehicle
kw,kilowatt
ss,social security
vet,veterinarian
frm,from
awy,away
yr,year
vaxxed,vaccinated
unvaxxed,unvaccinated
t.v.,television
un,united nations
info,information
plz,please
ms.,miss
mla,member of the legislative assembly 
rt,retweet
hcid,high consequence infectious diseases
asap,as soon as possible
ar-15,armalite rifle-15
icc,international cricket council
ms,mahendra singh
md,mohammad danish
vax,vaccine
jan,january
feb,february
mar,march
apr,april
may,may
jun,june
jul,july
aug,august
sep,september
oct,october
nov,november
dec,december
mon,monday
tue,tuesday
tues,tuesday
wed,wednesday
thu,thursday
thurs,thursday
fri,friday
sat,saturday